road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
 Abbotsmead Place (RG4),32,30,0,32,15,94,0,100,47,35,211,74,0,2,29,1,0,0,0,0,6,91,3,0,0,0
 Abbottsleigh Gardens (RG4),13,0,1,13,12,0,8,100,92,30,172,73,0,0,13,0,0,0,0,0,0,100,0,0,0,0
 Aberaman (RG4),22,0,7,22,8,0,32,100,36,41,227,62,0,0,0,21,1,0,0,0,0,0,95,5,0,0
 Aberford Close (RG30),7,0,4,6,0,0,57,86,0,45,248,62,0,1,1,3,2,0,0,0,14,14,43,29,0,0
 Abingdon Drive (RG4),25,1,13,24,0,4,52,96,0,44,247,63,0,2,3,15,5,0,0,0,8,12,60,20,0,0
 Acre House (RG2),3,3,3,3,3,100,100,100,100,24,141,74,0,0,3,0,0,0,0,0,0,100,0,0,0,0
 Addington Road (RG1),107,33,15,94,5,31,14,88,5,49,281,60,0,0,24,55,23,5,0,0,0,22,51,21,5,0
 Addison Road (RG1),89,9,14,77,7,10,16,87,8,50,280,60,0,5,15,47,20,1,1,0,6,17,53,22,1,1
 Adelaide Road (RG6),18,1,2,14,1,6,11,78,6,53,300,59,0,0,3,10,5,0,0,0,0,17,56,28,0,0
 Admirals Court (RG1),1,1,0,1,0,100,0,100,0,71,419,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Ainsdale Crescent (RG30),12,0,9,11,0,0,75,92,0,49,278,62,0,0,3,8,1,0,0,0,0,25,67,8,0,0
 Alan Place (RG30),20,20,15,20,0,100,75,100,0,30,173,74,0,0,19,1,0,0,0,0,0,95,5,0,0,0
 Alandale Close (RG2),24,4,13,24,0,17,54,100,0,50,276,60,0,0,3,16,4,1,0,0,0,12,67,17,4,0
 Albany Gardens (RG4),3,0,0,3,3,0,0,100,100,28,158,75,0,0,3,0,0,0,0,0,0,100,0,0,0,0
 Albany Road (RG30),86,7,0,67,0,8,0,78,0,62,353,56,0,0,9,47,20,8,2,0,0,10,55,23,9,2
 Albert Illsley Close (RG31),6,2,0,6,3,33,0,100,50,39,219,64,0,0,0,6,0,0,0,0,0,0,100,0,0,0
 Albert Road (RG4),56,16,17,27,10,29,30,48,18,50,289,54,0,9,1,15,21,9,1,0,16,2,27,38,16,2
 Albion Terrace (RG1),19,19,0,0,0,100,0,0,0,47,274,68,0,0,10,9,0,0,0,0,0,53,47,0,0,0
 Aldeburgh Close (RG4),1,0,0,1,0,0,0,100,0,70,385,41,0,0,0,0,1,0,0,0,0,0,0,100,0,0
 Aldenham Close (RG4),5,1,2,5,0,20,40,100,0,42,233,63,0,0,1,3,1,0,0,0,0,20,60,20,0,0
 Aldworth Close (RG30),11,2,7,8,2,18,64,73,18,44,248,65,0,2,2,6,1,0,0,0,18,18,55,9,0,0
 Aldworth Rise (RG1),3,3,3,3,3,100,100,100,100,15,84,84,0,3,0,0,0,0,0,0,100,0,0,0,0,0
 Alexandra Road (RG1),92,47,23,63,10,51,25,68,11,72,424,50,0,0,4,42,27,16,3,0,0,4,46,29,17,3
 Alford Close (RG30),3,0,2,3,0,0,67,100,0,37,206,68,0,0,1,2,0,0,0,0,0,33,67,0,0,0
 Alfred Street (RG1),15,15,15,15,13,100,100,100,87,16,90,85,0,14,1,0,0,0,0,0,93,7,0,0,0,0
 All Hallows Road (RG4),26,8,14,21,3,31,54,81,12,47,271,61,0,3,2,14,5,2,0,0,12,8,54,19,8,0
 All Saints Court (RG1),1,0,0,1,0,0,0,100,0,32,184,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Allcroft Road (RG1),23,2,13,15,2,9,57,65,9,50,276,57,0,0,4,12,6,1,0,0,0,17,52,26,4,0
 Alleyne Close (RG1),10,10,10,10,10,100,100,100,100,8,42,86,0,10,0,0,0,0,0,0,100,0,0,0,0,0
 Alma Street (RG30),18,0,0,14,0,0,0,78,0,55,312,59,0,0,0,14,4,0,0,0,0,0,78,22,0,0
 Almond Drive (RG4),6,1,4,6,0,17,67,100,0,49,276,58,0,0,0,4,2,0,0,0,0,0,67,33,0,0
 Alphington Road (RG2),18,1,0,18,2,6,0,100,11,39,218,69,0,0,12,6,0,0,0,0,0,67,33,0,0,0
 Alpine Street (RG1),106,7,1,85,1,7,1,80,1,54,313,59,0,0,13,67,24,1,1,0,0,12,63,23,1,1
 Alston Walk (RG4),39,8,19,38,0,21,49,97,0,38,210,69,0,2,17,20,0,0,0,0,5,44,51,0,0,0
 Amblecote Road (RG30),34,13,23,31,1,38,68,91,3,53,300,63,0,0,11,17,6,0,0,0,0,32,50,18,0,0
 Ambrook Road (RG2),66,15,42,63,2,23,64,95,3,46,254,62,0,1,16,32,17,0,0,0,2,24,48,26,0,0
 Amersham Road (RG4),73,11,14,71,28,15,19,97,38,38,220,69,0,1,48,18,4,2,0,0,1,66,25,5,3,0
 Amethyst Lane (RG30),2,0,0,2,0,0,0,100,0,39,213,67,0,0,1,1,0,0,0,0,0,50,50,0,0,0
 Amherst Road (RG6),31,0,0,25,3,0,0,81,10,51,299,60,0,0,6,18,6,1,0,0,0,19,58,19,3,0
 Amity Road (RG1),136,10,2,117,0,7,1,86,0,55,312,58,0,0,13,96,21,4,2,0,0,10,71,15,3,1
 Amity Street (RG1),29,1,0,26,0,3,0,90,0,50,284,61,0,0,5,16,8,0,0,0,0,17,55,28,0,0
 Ammanford (RG4),18,2,0,18,9,11,0,100,50,41,235,63,0,0,0,18,0,0,0,0,0,0,100,0,0,0
 Andover Close (RG31),5,0,0,5,1,0,0,100,20,39,217,64,0,0,2,2,1,0,0,0,0,40,40,20,0,0
 Anglefield Road (RG4),34,4,21,33,3,12,62,97,9,44,251,65,0,2,10,18,4,0,0,0,6,29,53,12,0,0
 Anson Walk (RG2),1,0,1,1,0,0,100,100,0,61,343,53,0,0,0,0,1,0,0,0,0,0,0,100,0,0
 Anstey Road (RG1),11,0,0,9,0,0,0,82,0,54,308,56,0,0,0,7,4,0,0,0,0,0,64,36,0,0
 Appleby End (RG30),13,3,6,13,0,23,46,100,0,48,259,61,0,0,4,6,3,0,0,0,0,31,46,23,0,0
 Appleford Road (RG30),35,12,9,35,0,34,26,100,0,44,250,65,0,1,10,19,5,0,0,0,3,29,54,14,0,0
 Aran Walk (RG2),6,6,2,6,4,100,33,100,67,29,176,82,0,5,1,0,0,0,0,0,83,17,0,0,0,0
 Arbour Close (RG1),12,0,1,12,0,0,8,100,0,39,215,69,0,0,7,5,0,0,0,0,0,58,42,0,0,0
 Arbroath Road (RG30),25,25,25,25,25,100,100,100,100,11,56,88,0,25,0,0,0,0,0,0,100,0,0,0,0,0
 Ardler Road (RG4),32,3,3,29,1,9,9,91,3,54,304,59,0,0,5,16,10,1,0,0,0,16,50,31,3,0
 Argyle Road (RG1),19,6,1,15,1,32,5,79,5,55,313,57,0,0,1,11,3,4,0,0,0,5,58,16,21,0
 Argyle Street (RG1),37,10,5,27,3,27,14,73,8,55,314,55,0,2,2,17,10,6,0,0,5,5,46,27,16,0
 Armour Hill (RG31),46,2,24,43,2,4,52,93,4,49,269,59,0,1,9,24,10,1,1,0,2,20,52,22,2,2
 Armour Road (RG31),65,17,8,50,13,26,12,77,20,49,277,60,0,4,16,23,18,2,2,0,6,25,35,28,3,3
 Arthur Place (RG1),11,11,7,10,1,100,64,91,9,34,194,74,0,0,9,2,0,0,0,0,0,82,18,0,0,0
 Artillery Mews (RG30),46,18,4,45,22,39,9,98,48,35,202,72,0,0,37,9,0,0,0,0,0,80,20,0,0,0
 Ash Road (RG30),35,5,24,34,0,14,69,97,0,41,230,66,0,1,17,12,4,1,0,0,3,49,34,11,3,0
 Ashampstead Road (RG30),82,11,59,82,1,13,72,100,1,41,226,67,0,5,36,33,7,1,0,0,6,44,40,9,1,0
 Ashburton Road (RG2),46,4,34,44,0,9,74,96,0,47,265,62,0,0,13,23,9,1,0,0,0,28,50,20,2,0
 Ashby Court (RG2),19,8,1,19,2,42,5,100,11,50,297,65,0,0,7,10,2,0,0,0,0,37,53,11,0,0
 Ashcroft Close (RG4),10,1,5,9,0,10,50,90,0,43,239,65,0,0,3,6,1,0,0,0,0,30,60,10,0,0
 Ashdene Gardens (RG30),35,21,0,35,30,60,0,100,86,26,149,78,0,13,20,2,0,0,0,0,37,57,6,0,0,0
 Ashley Road (RG1),12,3,4,12,2,25,33,100,17,39,220,64,0,2,0,7,3,0,0,0,17,0,58,25,0,0
 Ashmore Road (RG2),43,4,23,38,0,9,53,88,0,50,288,61,0,0,16,22,1,2,2,0,0,37,51,2,5,5
 Ashton Close (RG31),13,6,2,12,0,46,15,92,0,39,220,68,0,0,7,6,0,0,0,0,0,54,46,0,0,0
 Aston Court (RG30),4,4,0,2,0,100,0,50,0,46,256,66,0,0,2,2,0,0,0,0,0,50,50,0,0,0
 Atherton Close (RG30),6,0,3,6,0,0,50,100,0,50,276,60,0,0,1,4,1,0,0,0,0,17,67,17,0,0
 Atterbury Gardens (RG4),4,1,0,4,3,25,0,100,75,30,170,72,0,0,4,0,0,0,0,0,0,100,0,0,0,0
 Auburn Court (RG4),14,14,1,14,0,100,7,100,0,44,248,66,0,0,8,5,1,0,0,0,0,57,36,7,0,0
 Auckland Road (RG6),31,3,0,24,0,10,0,77,0,57,321,59,0,0,2,22,7,0,0,0,0,6,71,23,0,0
 Audley Street (RG30),81,7,2,52,5,9,2,64,6,59,334,56,0,2,7,44,18,9,1,0,2,9,54,22,11,1
 August End (RG30),31,0,5,22,1,0,16,71,3,36,199,71,0,0,23,8,0,0,0,0,0,74,26,0,0,0
 Autumn Close (RG4),10,0,6,8,0,0,60,80,0,50,289,57,0,0,2,5,2,1,0,0,0,20,50,20,10,0
 Avebury Square (RG1),6,1,1,2,0,17,17,33,0,59,324,53,0,0,0,3,3,0,0,0,0,0,50,50,0,0
 Aveley Walk (RG2),8,8,8,8,0,100,100,100,0,37,211,72,0,0,6,2,0,0,0,0,0,75,25,0,0,0
 Avon Place (RG1),27,10,20,27,0,37,74,100,0,39,217,69,0,0,15,11,1,0,0,0,0,56,41,4,0,0
 Axbridge Road (RG2),10,2,5,6,0,20,50,60,0,50,283,64,0,0,4,6,0,0,0,0,0,40,60,0,0,0
 Aylsham Close (RG30),12,0,3,11,0,0,25,92,0,44,250,65,0,0,5,5,2,0,0,0,0,42,42,17,0,0
 Ayrton Senna Road (RG31),2,1,1,2,0,50,50,100,0,34,193,70,0,0,1,1,0,0,0,0,0,50,50,0,0,0
 Badgers Rise (RG4),14,2,4,13,0,14,29,93,0,51,289,60,0,0,3,8,3,0,0,0,0,21,57,21,0,0
 Baker Street (RG1),49,25,2,27,2,51,4,55,4,59,349,56,0,3,9,17,14,5,1,0,6,18,35,29,10,2
 Balliol Road (RG4),7,1,2,6,0,14,29,86,0,48,262,56,0,0,0,4,3,0,0,0,0,0,57,43,0,0
 Balmore Drive (RG4),40,3,17,24,2,8,42,60,5,48,272,58,0,0,3,24,12,1,0,0,0,8,60,30,2,0
 Balmore Park (RG4),7,0,0,7,0,0,0,100,0,35,183,68,0,1,1,5,0,0,0,0,14,14,71,0,0,0
 Bamburgh Close (RG2),9,9,2,9,0,100,22,100,0,76,432,57,0,0,4,1,3,1,0,0,0,44,11,33,11,0
 Banbury Gardens (RG4),7,0,0,7,0,0,0,100,0,64,366,51,0,0,0,4,2,1,0,0,0,0,57,29,14,0
 Bankside Close (RG2),5,0,3,5,0,0,60,100,0,38,209,66,0,1,1,3,0,0,0,0,20,20,60,0,0,0
 Barbrook Close (RG31),1,0,1,1,0,0,100,100,0,37,209,66,0,0,0,1,0,0,0,0,0,0,100,0,0,0
 Barclose Avenue (RG4),6,0,1,6,0,0,17,100,0,53,286,55,0,0,0,3,3,0,0,0,0,0,50,50,0,0
 Barn Close (RG30),16,0,7,15,0,0,44,94,0,41,230,63,0,0,4,8,4,0,0,0,0,25,50,25,0,0
 Barnard Close (RG4),2,0,2,2,0,0,100,100,0,35,192,67,0,0,1,1,0,0,0,0,0,50,50,0,0,0
 Barnsdale Road (RG2),79,15,13,75,0,19,16,95,0,49,274,62,0,0,15,48,14,1,1,0,0,19,61,18,1,1
 Barnwood Close (RG30),26,8,3,25,0,31,12,96,0,47,269,65,0,2,8,12,3,1,0,0,8,31,46,12,4,0
 Baron Court (RG30),4,4,0,4,0,100,0,100,0,71,452,45,0,0,0,1,2,0,1,0,0,0,25,50,0,25
 Barrington Way (RG1),20,0,1,20,6,0,5,100,30,42,241,63,0,0,2,18,0,0,0,0,0,10,90,0,0,0
 Barry Place (RG1),2,1,0,2,0,50,0,100,0,63,340,47,0,0,0,0,2,0,0,0,0,0,0,100,0,0
 Basingstoke Road (RG2),246,42,50,217,36,17,20,88,15,51,289,58,0,24,16,121,69,15,1,0,10,7,49,28,6,0
" Bath Road (RG1, RG30)",51,18,12,40,16,35,24,78,31,59,343,54,0,5,13,10,11,7,5,0,10,25,20,22,14,10
 Battle Place (RG30),16,7,0,16,14,44,0,100,88,28,159,76,0,0,15,1,0,0,0,0,0,94,6,0,0,0
 Battle Square (RG30),43,16,10,43,40,37,23,100,93,20,112,79,0,18,25,0,0,0,0,0,42,58,0,0,0,0
 Battle Street (RG1),17,3,0,13,0,18,0,76,0,69,394,47,0,0,1,6,6,1,3,0,0,6,35,35,6,18
 Baydon Drive (RG1),12,2,3,8,0,17,25,67,0,54,308,54,0,0,1,5,5,1,0,0,0,8,42,42,8,0
 Beatty Drive (RG30),11,4,8,11,0,36,73,100,0,49,281,69,0,0,5,6,0,0,0,0,0,45,55,0,0,0
 Bede Walk (RG2),6,1,0,6,0,17,0,100,0,43,245,67,0,0,3,3,0,0,0,0,0,50,50,0,0,0
 Bedford Road (RG1),29,15,1,22,3,52,3,76,10,46,270,64,0,0,13,12,3,0,1,0,0,45,41,10,0,3
 Beech Road (RG2),1,0,1,1,0,0,100,100,0,34,207,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Beecham Road (RG30),126,11,1,96,0,9,1,76,0,56,312,55,0,0,8,63,49,4,2,0,0,6,50,39,3,2
 Beechwood Avenue (RG31),11,1,2,11,0,9,18,100,0,51,298,56,0,0,1,5,5,0,0,0,0,9,45,45,0,0
 Bell Court (RG4),7,0,0,7,3,0,0,100,43,34,192,69,0,0,7,0,0,0,0,0,0,100,0,0,0,0
 Belle Avenue (RG6),8,0,1,5,0,0,12,62,0,44,257,58,0,0,0,6,2,0,0,0,0,0,75,25,0,0
 Belle Vue Road (RG1),21,1,0,14,0,5,0,67,0,61,344,56,0,0,1,12,8,0,0,0,0,5,57,38,0,0
 Belle Vue Terrace (RG1),2,0,0,2,0,0,0,100,0,45,264,62,0,0,0,2,0,0,0,0,0,0,100,0,0,0
 Bellingham Walk (RG4),14,1,1,13,0,7,7,93,0,41,228,65,0,0,6,7,0,1,0,0,0,43,50,0,7,0
 Belmont Court (RG1),4,4,0,4,1,100,0,100,25,34,206,76,0,0,4,0,0,0,0,0,0,100,0,0,0,0
 Belmont Road (RG30),147,12,0,124,1,8,0,84,1,53,303,59,0,0,13,108,21,2,3,0,0,9,73,14,1,2
 Benson Close (RG2),21,3,13,18,0,14,62,86,0,42,242,64,0,0,6,12,3,0,0,0,0,29,57,14,0,0
 Beresford Road (RG30),37,3,1,33,0,8,3,89,0,52,288,59,0,0,2,29,4,1,1,0,0,5,78,11,3,3
 Berkeley Avenue (RG1),93,51,55,87,51,55,59,94,55,30,166,72,0,48,10,22,11,2,0,0,52,11,24,12,2,0
 Berkshire Drive (RG31),8,3,1,6,0,38,12,75,0,50,278,59,0,0,1,4,3,0,0,0,0,12,50,38,0,0
 Berrylands Road (RG4),14,1,3,13,0,7,21,93,0,51,288,58,0,0,2,9,3,0,0,0,0,14,64,21,0,0
 Bevan Close (RG30),20,20,20,20,20,100,100,100,100,12,71,85,0,20,0,0,0,0,0,0,100,0,0,0,0,0
 Beverley Road (RG31),29,9,14,28,0,31,48,97,0,49,282,58,0,0,5,19,3,0,2,0,0,17,66,10,0,7
 Bexley Court (RG30),23,16,6,23,2,70,26,100,9,56,327,54,0,0,4,7,9,2,1,0,0,17,30,39,9,4
 Bigbury Gardens (RG2),7,0,6,6,0,0,86,86,0,53,296,58,0,0,1,4,2,0,0,0,0,14,57,29,0,0
 Birch Avenue (RG30),16,2,8,12,0,12,50,75,0,50,285,58,0,0,2,10,3,1,0,0,0,12,62,19,6,0
 Birchwood Close (RG4),3,0,1,3,0,0,33,100,0,44,243,63,0,0,1,1,1,0,0,0,0,33,33,33,0,0
 Birdhill Avenue (RG2),48,4,26,47,0,8,54,98,0,49,273,61,0,0,8,29,10,1,0,0,0,17,60,21,2,0
 Bishops Road (RG6),16,0,1,14,0,0,6,88,0,48,274,61,0,0,1,13,2,0,0,0,0,6,81,12,0,0
 Blackwater Close (RG4),10,0,4,10,0,0,40,100,0,47,258,59,0,0,2,5,2,1,0,0,0,20,50,20,10,0
 Blaenant (RG4),29,2,0,29,12,7,0,100,41,46,260,64,0,0,4,23,2,0,0,0,0,14,79,7,0,0
 Blaenavon (RG4),7,0,2,7,2,0,29,100,29,43,233,61,0,0,2,5,0,0,0,0,0,29,71,0,0,0
 Blagdon Road (RG2),46,8,24,41,0,17,52,89,0,45,250,64,0,1,16,23,5,1,0,0,2,35,50,11,2,0
 Blakes Quay (RG1),29,28,0,29,25,97,0,100,86,25,146,77,0,12,13,2,2,0,0,0,41,45,7,7,0,0
 Blandford Road (RG2),55,6,30,53,0,11,55,96,0,48,270,62,0,0,8,38,9,0,0,0,0,15,69,16,0,0
 Blenheim Gardens (RG1),126,2,1,96,2,2,1,76,2,57,326,59,0,0,15,83,24,2,2,0,0,12,66,19,2,2
" Blenheim Road (RG1, RG4)",185,4,3,138,5,2,2,75,3,54,300,56,0,0,21,95,56,10,3,0,0,11,51,30,5,2
 Blossom Road (RG4),7,5,0,7,5,71,0,100,71,29,157,76,0,2,5,0,0,0,0,0,29,71,0,0,0,0
 Bluebell Gardens (RG4),5,1,0,5,5,20,0,100,100,26,147,75,0,0,5,0,0,0,0,0,0,100,0,0,0,0
 Blundells Road (RG30),18,4,5,15,0,22,28,83,0,49,282,58,0,0,4,7,7,0,0,0,0,22,39,39,0,0
 Blyth Walk (RG2),12,0,11,12,0,0,92,100,0,29,161,74,0,4,4,4,0,0,0,0,33,33,33,0,0,0
 Bob Green Court (RG2),25,6,21,25,0,24,84,100,0,44,244,68,0,0,9,16,0,0,0,0,0,36,64,0,0,0
 Body Road (RG1),5,0,0,3,0,0,0,60,0,56,321,53,0,0,0,2,3,0,0,0,0,0,40,60,0,0
 Boston Avenue (RG1),35,1,11,27,1,3,31,77,3,64,338,52,0,0,5,14,11,3,2,0,0,14,40,31,9,6
 Boult Street (RG1),8,2,2,6,0,25,25,75,0,48,264,63,0,0,1,6,1,0,0,0,0,12,75,12,0,0
 Boults Walk (RG2),4,0,1,3,1,0,25,75,25,54,345,50,0,0,1,2,0,0,1,0,0,25,50,0,0,25
 Boundary Close (RG31),5,0,1,5,0,0,20,100,0,45,237,61,0,0,0,4,1,0,0,0,0,0,80,20,0,0
 Bourne Avenue (RG2),27,5,10,22,1,19,37,81,4,54,289,56,0,0,1,16,9,1,0,0,0,4,59,33,4,0
 Bourne Stevens Close (RG1),9,9,0,9,3,100,0,100,33,41,231,71,0,2,4,1,2,0,0,0,22,44,11,22,0,0
 Bourton Close (RG30),4,1,3,4,0,25,75,100,0,45,252,61,0,0,0,3,1,0,0,0,0,0,75,25,0,0
 Brackendale Way (RG6),4,0,2,4,0,0,50,100,0,42,238,61,0,0,1,2,1,0,0,0,0,25,50,25,0,0
 Brackstone Close (RG4),8,0,0,8,1,0,0,100,12,37,210,69,0,0,6,1,1,0,0,0,0,75,12,12,0,0
 Brae View (RG31),1,0,0,1,1,0,0,100,100,29,163,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Bramber Mews (RG4),7,1,3,6,0,14,43,86,0,46,253,63,0,0,1,5,1,0,0,0,0,14,71,14,0,0
 Bramble Crescent (RG30),8,1,6,7,0,12,75,88,0,46,255,62,0,0,1,5,2,0,0,0,0,12,62,25,0,0
 Bramblings (RG4),1,0,1,1,0,0,100,100,0,41,232,65,0,0,0,1,0,0,0,0,0,0,100,0,0,0
 Bramshaw Road (RG30),34,4,2,33,0,12,6,97,0,51,282,61,0,1,4,24,3,2,0,0,3,12,71,9,6,0
 Bran Close (RG30),21,2,8,20,0,10,38,95,0,44,249,65,0,2,6,10,2,1,0,0,10,29,48,10,5,0
 Branagh Court (RG30),51,50,2,51,43,98,4,100,84,41,255,68,0,0,24,26,1,0,0,0,0,47,51,2,0,0
 Bray Road (RG30),6,3,3,6,1,50,50,100,17,38,216,68,0,0,4,2,0,0,0,0,0,67,33,0,0,0
 Brayford Road (RG2),28,4,14,27,2,14,50,96,7,40,221,66,0,1,10,15,2,0,0,0,4,36,54,7,0,0
 Brendon Close (RG30),14,2,13,13,0,14,93,93,0,50,261,63,0,1,3,8,1,1,0,0,7,21,57,7,7,0
 Brent Gardens (RG2),12,1,9,12,0,8,75,100,0,43,242,66,0,0,6,5,1,0,0,0,0,50,42,8,0,0
 Briants Avenue (RG4),52,4,3,43,0,8,6,83,0,58,332,55,0,0,3,33,11,3,2,0,0,6,63,21,6,4
 Briar Close (RG4),3,1,1,2,0,33,33,67,0,55,325,56,0,0,0,1,2,0,0,0,0,0,33,67,0,0
 Bridge Street (RG4),4,0,0,3,1,0,0,75,25,152,880,14,0,0,0,0,1,0,3,0,0,0,0,25,0,75
 Brigham Road (RG1),8,1,1,6,1,12,12,75,12,50,269,58,0,0,2,3,3,0,0,0,0,25,38,38,0,0
 Brighton Road (RG6),75,3,2,56,3,4,3,75,4,53,301,58,0,1,7,45,17,3,2,0,1,9,60,23,4,3
 Brill Close (RG4),12,1,8,9,0,8,67,75,0,44,260,65,0,0,4,6,2,0,0,0,0,33,50,17,0,0
 Brimpton Road (RG30),13,4,5,11,1,31,38,85,8,45,247,63,0,2,4,4,1,1,1,0,15,31,31,8,8,8
 Brisbane Road (RG30),28,0,0,17,0,0,0,61,0,54,307,53,0,0,0,10,16,2,0,0,0,0,36,57,7,0
 Brixham Road (RG2),66,2,43,60,0,3,65,91,0,49,274,63,0,0,25,30,8,3,0,0,0,38,45,12,5,0
 Brock Gardens (RG30),16,9,0,9,0,56,0,56,0,49,270,66,0,0,7,8,1,0,0,0,0,44,50,6,0,0
 Brockley Close (RG30),30,5,21,27,0,17,70,90,0,47,263,64,0,1,10,14,5,0,0,0,3,33,47,17,0,0
 Brocksett Close (RG30),18,10,0,18,8,56,0,100,44,32,180,72,0,0,16,2,0,0,0,0,0,89,11,0,0,0
 Bromley Walk (RG30),24,0,5,23,0,0,21,96,0,45,251,65,0,1,5,17,1,0,0,0,4,21,71,4,0,0
 Brook Lea (RG4),6,6,0,6,0,100,0,100,0,76,469,58,0,0,0,4,2,0,0,0,0,0,67,33,0,0
 Brook Street West (RG1),23,0,0,16,0,0,0,70,0,54,316,60,0,0,1,17,5,0,0,0,0,4,74,22,0,0
 Brooklyn Drive (RG4),18,1,9,17,3,6,50,94,17,40,224,61,0,0,6,6,6,0,0,0,0,33,33,33,0,0
 Brooksby Road (RG31),43,0,28,42,0,0,65,98,0,50,274,58,0,0,5,27,9,2,0,0,0,12,63,21,5,0
 Broomfield Road (RG30),35,3,12,30,0,9,34,86,0,50,274,58,0,1,4,17,12,0,1,0,3,11,49,34,0,3
 Brownlow Road (RG1),11,8,4,8,5,73,36,73,45,58,351,62,0,2,4,1,2,2,0,0,18,36,9,18,18,0
 Brunel Road (RG30),68,7,53,66,0,10,78,97,0,40,226,68,0,3,29,33,3,0,0,0,4,43,49,4,0,0
 Brunswick Hill (RG1),44,23,12,29,6,52,27,66,14,53,307,57,0,2,9,16,12,4,1,0,5,20,36,27,9,2
 Brunswick Street (RG1),65,14,9,46,1,22,14,71,2,53,298,61,0,0,15,37,12,1,0,0,0,23,57,18,2,0
 Brybur Close (RG2),22,2,9,22,1,9,41,100,5,50,283,57,0,1,5,8,5,2,1,0,5,23,36,23,9,5
 Buckingham Drive (RG4),38,13,21,36,4,34,55,95,11,42,232,66,0,3,14,16,5,0,0,0,8,37,42,13,0,0
 Buckingham Gate (RG4),10,1,0,10,9,10,0,100,90,27,156,77,0,1,9,0,0,0,0,0,10,90,0,0,0,0
 Buckland Road (RG2),27,2,21,24,1,7,78,89,4,43,239,65,0,0,12,13,2,0,0,0,0,44,48,7,0,0
 Bucknell Court (RG1),8,1,0,8,7,12,0,100,88,27,147,76,0,0,8,0,0,0,0,0,0,100,0,0,0,0
 Buckside (RG4),3,2,0,0,0,67,0,0,0,61,363,54,0,0,0,2,1,0,0,0,0,0,67,33,0,0
 Bulmershe Road (RG1),51,16,7,33,0,31,14,65,0,56,328,53,0,0,7,20,18,1,5,0,0,14,39,35,2,10
 Bungalow Drive (RG31),1,0,0,1,0,0,0,100,0,84,473,56,0,0,0,1,0,0,0,0,0,0,100,0,0,0
 Burcombe Way (RG4),8,2,7,8,0,25,88,100,0,41,236,68,0,0,5,3,0,0,0,0,0,62,38,0,0,0
 Burdett Court (RG2),10,10,0,10,2,100,0,100,20,56,337,64,0,0,3,5,2,0,0,0,0,30,50,20,0,0
 Burghfield Road (RG30),23,1,7,22,0,4,30,96,0,50,278,57,0,0,2,14,6,1,0,0,0,9,61,26,4,0
 Burleigh Mews (RG4),2,0,2,2,0,0,100,100,0,32,184,72,0,0,2,0,0,0,0,0,0,100,0,0,0,0
 Burlingham Close (RG2),6,3,2,6,1,50,33,100,17,28,150,75,0,0,6,0,0,0,0,0,0,100,0,0,0,0
 Burlington Road (RG30),13,1,8,12,0,8,62,92,0,46,252,64,0,0,4,7,2,0,0,0,0,31,54,15,0,0
 Burnham Rise (RG4),20,4,6,11,0,20,30,55,0,51,288,57,0,0,4,9,4,3,0,0,0,20,45,20,15,0
 Burrcroft Court (RG30),16,10,0,14,0,62,0,88,0,74,449,63,0,0,6,8,2,0,0,0,0,38,50,12,0,0
 Bute Street (RG30),6,0,6,6,0,0,100,100,0,59,337,61,0,0,1,4,1,0,0,0,0,17,67,17,0,0
 Buxton Avenue (RG4),33,1,9,30,0,3,27,91,0,56,315,54,0,0,3,14,13,2,1,0,0,9,42,39,6,3
 Byefield Road (RG30),13,2,9,12,0,15,69,92,0,44,245,65,0,0,9,3,0,0,1,0,0,69,23,0,0,8
 Byworth Close (RG2),3,0,1,3,0,0,33,100,0,47,265,60,0,0,0,3,0,0,0,0,0,0,100,0,0,0
 Cadogan Place (RG4),2,0,0,2,1,0,0,100,50,36,215,65,0,0,0,2,0,0,0,0,0,0,100,0,0,0
 Cadugan Place (RG1),22,10,0,22,19,45,0,100,86,23,131,77,0,1,21,0,0,0,0,0,5,95,0,0,0,0
 Calder Close (RG30),15,0,8,14,4,0,53,93,27,38,214,67,0,0,7,7,1,0,0,0,0,47,47,7,0,0
 Caleta Close (RG4),10,2,5,10,0,20,50,100,0,35,188,70,0,1,4,4,1,0,0,0,10,40,40,10,0,0
 Callington Road (RG2),69,6,43,66,0,9,62,96,0,46,253,64,0,0,30,29,10,0,0,0,0,43,42,14,0,0
 Cambridge Street (RG1),27,3,0,20,0,11,0,74,0,54,305,58,0,0,3,17,5,1,1,0,0,11,63,19,4,4
